,연료별,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,계
17,휘발유,1646122.0,704346.0,581707.0,807266.0,309906.0,339003.0,294408.0,92151.0,3017624.0,360348.0,399367.0,518283.0,395293.0,453952.0,649047.0,873336.0,290126.0,11732285.0
34,경유,1088003.0,554709.0,451527.0,634789.0,266986.0,248820.0,220334.0,65369.0,2444919.0,370839.0,380495.0,516144.0,431709.0,546568.0,663071.0,740560.0,252660.0,9877502.0
51,엘피지,245825.0,113503.0,107907.0,117273.0,88968.0,67761.0,36480.0,12890.0,406674.0,58959.0,70473.0,88836.0,93796.0,111943.0,127787.0,139662.0,59942.0,1948679.0
68,등유,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0
85,전기,38840.0,11766.0,16083.0,11775.0,4978.0,7737.0,3149.0,1717.0,38563.0,7231.0,7731.0,9836.0,7147.0,8042.0,10870.0,12122.0,25381.0,222968.0
102,알코올,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
119,태양열,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
136,CNG,8977.0,2713.0,2424.0,2556.0,1269.0,1542.0,812.0,178.0,8641.0,607.0,695.0,564.0,958.0,968.0,1094.0,1479.0,9.0,35486.0
153,LNG,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,2.0,2.0,1.0,0.0,14.0
170,하이브리드(휘발유+전기),136308.0,52492.0,43435.0,77236.0,21651.0,21775.0,17641.0,9829.0,232466.0,21797.0,23357.0,29387.0,23087.0,31823.0,33559.0,48641.0,25885.0,850369.0
187,하이브리드(경유+전기),2079.0,3059.0,1568.0,5875.0,353.0,301.0,156.0,116.0,3128.0,225.0,508.0,379.0,614.0,374.0,330.0,1302.0,261.0,20628.0
204,하이브리드(LPG+전기),1659.0,735.0,840.0,703.0,646.0,501.0,468.0,149.0,3600.0,638.0,672.0,736.0,796.0,855.0,999.0,1050.0,344.0,15391.0
221,하이브리드(CNG+전기),51.0,2.0,13.0,37.0,26.0,0.0,46.0,27.0,79.0,0.0,3.0,0.0,8.0,0.0,31.0,0.0,0.0,323.0
238,하이브리드(LNG+전기),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
255,수소,2383.0,1306.0,309.0,998.0,890.0,866.0,2198.0,121.0,3442.0,1770.0,897.0,780.0,1081.0,327.0,45.0,1588.0,3.0,19004.0
272,기타연료,6989.0,15869.0,4484.0,13709.0,3954.0,3739.0,5130.0,1126.0,28786.0,4138.0,6684.0,9287.0,5069.0,9441.0,10644.0,8916.0,858.0,138823.0
289,총계,3177236.0,1460503.0,1210298.0,1672220.0,699627.0,692045.0,580822.0,183673.0,6187925.0,826552.0,890882.0,1174234.0,959559.0,1164295.0,1497479.0,1828658.0,655469.0,24861477.0
